Nome do deputado,Tipo de gasto,Partido,Estado,Valor
FÁBIO RAMALHO,Maintenance of office supporting parliamentary activity,PMDB,MG,670.0
DANIEL ALMEIDA,Publicity of parliamentary activity,PCdoB,BA,1800.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,152.83
NELSON PELLEGRINO,Congressperson meal,PT,BA,12.0
ROBERTO FREIRE,Congressperson meal,PPS,SP,60.4
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,200.07
LUIZ FERNANDO FARIA,Congressperson meal,PP,MG,48.3
LAERTE BESSA,Automotive vehicle renting or charter,PR,DF,7950.0
LAERTE BESSA,Automotive vehicle renting or charter,PR,DF,2050.0
JOÃO CARLOS BACELAR,Fuels and lubricants,PR,BA,261.29
FELIPE MAIA,Maintenance of office supporting parliamentary activity,DEM,RN,151.8
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,170.89
AFONSO HAMM,Congressperson meal,PP,RS,27.0
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,217.04
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,64.51
DANIEL ALMEIDA,Maintenance of office supporting parliamentary activity,PCdoB,BA,2650.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,178.93
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,154.99
PEDRO CHAVES,Postal services,PMDB,GO,372.0
LUIZ SÉRGIO,Postal services,PT,RJ,77.5
LUIZ SÉRGIO,Congressperson meal,PT,RJ,31.77
PAULO MAGALHÃES,Consultancy research and technical work,PSD,BA,12000.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,150.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,176.43
NILSON PINTO,Maintenance of office supporting parliamentary activity,PSDB,PA,5700.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,201.84
WOLNEY QUEIROZ,Consultancy research and technical work,PDT,PE,7670.0
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,15.63
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,195.03
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,150.0
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,190.07
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,100.0
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,100.0
CHICO D'ANGELO,Maintenance of office supporting parliamentary activity,PT,RJ,255.0
AFONSO HAMM,Fuels and lubricants,PP,RS,138.0
MARCO MAIA,Lodging except for congressperson from Distrito Federal,PT,RS,210.0
MARCO MAIA,Lodging except for congressperson from Distrito Federal,PT,RS,210.0
MARCO MAIA,Fuels and lubricants,PT,RS,210.0
MARCO MAIA,Fuels and lubricants,PT,RS,215.05
LUIS CARLOS HEINZE,Lodging except for congressperson from Distrito Federal,PP,RS,174.5
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,150.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,198.2
FÁBIO RAMALHO,Lodging except for congressperson from Distrito Federal,PMDB,MG,242.0
FÁBIO RAMALHO,Lodging except for congressperson from Distrito Federal,PMDB,MG,242.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,2942.97
CELSO MALDANER,Publicity of parliamentary activity,PMDB,SC,4550.0
AFONSO HAMM,Fuels and lubricants,PP,RS,177.5
AFONSO HAMM,Fuels and lubricants,PP,RS,150.0
LUIZ COUTO,Maintenance of office supporting parliamentary activity,PT,PB,396.0
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,3172.4
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,20.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,161.57
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,150.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,146.07
